FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E_Latency
301.28224300000005,782.1527777777778,0.0025902777777777777,909.7083333333334,243628.37300000005
301.28224300000005,788.8819444444445,0.002513888888888889,937.1527777777778,248549.36200000002
301.28224300000005,785.1111111111111,0.0026041666666666665,929.2847222222222,246873.37500000003
301.28224300000005,785.0,0.002590277777777778,915.0625,244809.37300000002
301.28224300000005,786.2083333333334,0.0025000000000000005,927.2291666666666,246735.36000000002
301.28224300000005,784.0625,0.0025,915.9375,244800.36000000004
301.28224300000005,782.2986111111111,0.0026666666666666666,921.2291666666666,245308.38400000002
301.28224300000005,783.1180555555555,0.0026944444444444446,922.9097222222222,245668.38800000004
301.28224300000005,782.2361111111111,0.0025277777777777777,912.5625,244051.36400000003
301.28224300000005,786.8125,0.002625,938.7777777777778,248485.37800000003
