GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,E2E_Latency
800.6944444444445,73.863669,0.0029166666666666664,5.223036,922.4513888888889,259521.90552000003
796.4652777777778,73.863669,0.0029097222222222215,5.223036,922.8055555555555,258963.90452
799.1805555555555,73.863669,0.0028958333333333327,5.223036,929.0277777777778,260250.90252
800.6736111111111,73.863669,0.002909722222222222,5.223036,923.0208333333334,259600.90452
799.7638888888889,73.863669,0.0029791666666666664,5.223036,920.1180555555555,259051.91452
800.3402777777778,73.863669,0.002881944444444444,5.223036,916.5972222222222,258627.90052000002
800.9166666666666,73.863669,0.003409722222222222,5.223036,923.2083333333334,259662.97652000003
800.2361111111111,73.863669,0.0029305555555555556,5.223036,926.8333333333334,260086.90752
798.9791666666666,73.863669,0.0029791666666666664,5.223036,926.1388888888889,259805.91452000002
803.2083333333334,73.863669,0.0029444444444444444,5.223036,927.7638888888889,260648.90952000004
