GazeboRead,ReadFile,GazeboPublish,SumLatency
817.6944444444445,0.002534722222222222,953.3958333333334,1771.0928125
820.1875,0.0025069444444444445,955.2152777777778,1775.4052847222224
821.2083333333334,0.0026180555555555558,960.3541666666666,1781.5651180555558
821.1527777777778,0.0025555555555555557,955.1666666666666,1776.3220000000001
822.2361111111111,0.0026875000000000002,958.6666666666666,1780.9054652777781
821.2638888888889,0.0025,949.2847222222222,1770.5511111111114
821.2777777777778,0.002534722222222222,959.6597222222222,1780.9400347222227
822.5138888888889,0.002548611111111111,962.4930555555555,1785.0094930555558
819.9375,0.002576388888888889,952.2708333333334,1772.2109097222226
823.8680555555555,0.0025277777777777777,958.3888888888889,1782.2594722222225
